Name,City,GPS,Company
Leanne Graham,Gwenborough,"-37.3159,-37.3159",Romaguera-Crona
Ervin Howell,Wisokyburgh,"-43.9509,-43.9509",Deckow-Crist
Clementine Bauch,McKenziehaven,"-68.6102,-68.6102",Romaguera-Jacobson
Patricia Lebsack,South Elvis,"29.4572,29.4572",Robel-Corkery
Chelsey Dietrich,Roscoeview,"-31.8129,-31.8129",Keebler LLC
Mrs. Dennis Schulist,South Christy,"-71.4197,-71.4197",Considine-Lockman
Kurtis Weissnat,Howemouth,"24.8918,24.8918",Johns Group
Nicholas Runolfsdottir V,Aliyaview,"-14.3990,-14.3990",Abernathy Group
Glenna Reichert,Bartholomebury,"24.6463,24.6463",Yost and Sons
Clementina DuBuque,Lebsackbury,"-38.2386,-38.2386",Hoeger LLC
